Job#, Delivered(Y/N), Waiting Time, Delivery Time
338, N, N/A, N/A
339, N, N/A, N/A
340, N, N/A, N/A
341, N, N/A, N/A
342, N, N/A, N/A
343, N, N/A, N/A
249, Y, 36, 52
273, Y, 36, 52
308, Y, 36, 52
328, Y, 20, 15
327, Y, 7, 32
317, Y, 31, 51
348, N, N/A, N/A
349, N, N/A, N/A
350, N, N/A, N/A
352, N, N/A, N/A
353, N, N/A, N/A
354, N, N/A, N/A
320, Y, 38, 49
357, N, N/A, N/A
359, N, N/A, N/A
360, N, N/A, N/A
361, N, N/A, N/A
344, Y, 23, 14
363, N, N/A, N/A
364, N, N/A, N/A
366, N, N/A, N/A
367, N, N/A, N/A
330, Y, 4, 31
354, Y, 4, 31
336, Y, 54, 27
370, N, N/A, N/A
372, N, N/A, N/A
373, N, N/A, N/A
374, N, N/A, N/A
375, N, N/A, N/A
376, N, N/A, N/A
377, N, N/A, N/A
346, Y, 40, 31
247, Y, 33, 15
285, Y, 33, 15
310, Y, 33, 15
329, Y, 33, 15
357, Y, 33, 15
345, Y, 46, 34
381, N, N/A, N/A
361, Y, 51, 7
377, Y, 0, 19
384, N, N/A, N/A
385, N, N/A, N/A
343, Y, 64, 54
379, Y, 14, 8
368, Y, 8, 50
390, N, N/A, N/A
391, N, N/A, N/A
392, N, N/A, N/A
355, Y, 52, 40
364, Y, 52, 40
394, N, N/A, N/A
395, N, N/A, N/A
396, N, N/A, N/A
397, N, N/A, N/A
332, Y, 44, 48
350, Y, 44, 48
370, Y, 44, 48
378, Y, 36, 36
385, Y, 11, 41
402, N, N/A, N/A
381, Y, 41, 34
404, N, N/A, N/A
405, N, N/A, N/A
406, N, N/A, N/A
386, Y, 27, 54
398, Y, 26, 16
410, N, N/A, N/A
411, N, N/A, N/A
412, N, N/A, N/A
414, N, N/A, N/A
415, N, N/A, N/A
416, N, N/A, N/A
399, Y, 22, 41
402, Y, 24, 30
400, Y, 25, 41
382, Y, 31, 47
397, Y, 31, 47
408, Y, 11, 22
367, Y, 57, 64
388, Y, 57, 64
416, Y, 10, 4
392, Y, 55, 50
407, Y, 18, 32
387, Y, 16, 23
406, Y, 16, 23
412, Y, 16, 23
427, N, N/A, N/A
428, N, N/A, N/A
417, Y, 1, 57
430, N, N/A, N/A
431, N, N/A, N/A
432, N, N/A, N/A
420, Y, 10, 39
419, Y, 34, 30
418, Y, 16, 53
421, Y, 23, 30
423, Y, 16, 53
422, Y, 26, 55
